county,lat,long,ID
marshall,41.322843,-86.2809625,149
martin,38.6705579,-86.8022436,150
miami,40.6144919,-86.1059443,151
monroe,39.1294237,-86.5187646,152
montgomery,40.0361447,-86.9007083,153
morgan,39.4665575,-86.4556794,154
newton,40.939576,-87.3966953,155
noble,41.3990708,-85.4193348,156
ohio,38.9480496,-84.9581728,157
orange,38.5421361,-86.4953216,158
owen,39.2984518,-86.8508562,159
parke,39.7686321,-87.2158436,160
perry,38.0893386,-86.632911,161
pike,38.4159433,-87.214144,162
porter,41.4457032,-87.0724971,163
posey,38.0145359,-87.8543645,164
pulaski,41.031393,-86.6990692,165
putnam,39.6666195,-86.8374032,166
randolph,40.1560108,-85.011566,167
ripley,39.0846316,-85.2691784,168
rush,39.6220357,-85.4731911,169
scott,38.6727039,-85.7444145,170
shelby,39.493485,-85.8190596,171
spencer,38.0288806,-86.9976446,172
st. joseph,41.1052896,-85.1325566,173
starke,41.2753164,-86.6457565,174
steuben,41.6414101,-85.0023642,175
sullivan,39.0492722,-87.4172644,176
switzerland,38.8249258,-85.0373975,177
tippecanoe,40.3916066,-86.8879689,178
tipton,40.2899154,-86.058442,179
union,39.6196086,-84.9292376,180
vanderburgh,38.0461185,-87.5806553,181
vermillion,39.8763626,-87.4635672,182
vigo,39.4174652,-87.3974269,183
wabash,40.8065352,-85.7833563,184
warren,40.3424546,-87.3564255,185
warrick,38.0906065,-87.2758933,186
washington,38.6592152,-87.172789,187
wayne,39.8638778,-85.0198586,188
wells,40.7013353,-85.2116102,189
white,40.7422434,-86.8713913,190
whitley,41.1238216,-85.5035187,191
adair,41.3127814,-94.4953303,192
adams,41.0161621,-94.6850186,193
allamakee,43.2961731,-91.3961856,194
appanoose,40.7455904,-92.8649061,195
audubon,41.670205,-94.9106526,196
benton,42.0599693,-92.0776319,197
black hawk,42.4607526,-92.3030235,198
boone,42.0171798,-93.9254114,199
bremer,42.7669649,-92.3099856,200
buchanan,42.4634928,-91.8449198,201
buena vista,42.7445814,-95.1127525,202
butler,42.7336512,-92.7819493,203
calhoun,42.3808184,-94.6332459,204
carroll,42.0193628,-94.860335,205
cass,41.3122834,-94.9215151,206
cedar,41.7608608,-91.1263198,207
cerro gordo,43.0742443,-93.2548746,208
cherokee,42.7247968,-95.6249803,209
chickasaw,43.05994,-92.316679,210
clarke,41.0152092,-93.7842976,211
clay,43.0809373,-95.1407762,212
clayton,42.8547706,-91.3667151,213
clinton,41.8444735,-90.1887379,214
crawford,42.020579,-95.3811884,215
dallas,41.6744179,-94.0394437,216
davis,40.7474784,-92.3965311,217
decatur,40.7418231,-93.7994193,218
delaware,42.4663805,-91.3621282,219
des moines,41.5910641,-93.6037149,220
dickinson,43.3753018,-95.1654279,221
dubuque,42.5006217,-90.6647967,222
emmet,43.3707528,-94.6749933,223
fayette,42.8420766,-91.850265,224
floyd,43.0587894,-92.7830539,225
franklin,42.7285907,-93.2513168,226
fremont,40.7345943,-95.5924782,227
greene,42.0182893,-94.4005864,228
grundy,42.4132701,-92.7808666,229
guthrie,41.6721976,-94.4985983,230
hamilton,42.382945,-93.7083849,231
hancock,43.0847702,-93.7363674,232
hardin,42.3840463,-93.2293918,233
harrison,41.6659155,-95.7976315,234
henry,40.9778301,-91.5511282,235
howard,43.3353641,-92.3230007,236
humboldt,42.7756032,-94.1956133,237
ida,42.3788371,-95.4949407,238
iowa,41.683983,-92.0612268,239
jackson,42.1420382,-90.5480067,240
jasper,41.6791308,-93.0647786,241
jefferson,41.0131342,-91.9718642,242
johnson,41.825492,-91.833336,243
jones,42.1081969,-91.1427196,244
keokuk,41.510019,-92.200892,245
kossuth,43.1825351,-94.209098,246
lee,40.6524894,-91.507313,247
linn,42.0631825,-91.6037932,248
louisa,41.206668,-91.2683976,249
lucas,41.0147422,-93.3427643,250
lyon,43.3747071,-96.2081917,251
madison,41.3133406,-94.0167968,252
mahaska,41.314939,-92.6489935,253
marion,42.0341658,-91.5976773,254
marshall,42.0378125,-92.9915704,255
mills,41.0171392,-95.6087477,256
mitchell,43.342033,-92.7840209,257
monona,42.0218737,-95.9356631,258
monroe,41.0142519,-92.8792544,259
montgomery,41.0166807,-95.1753285,260
muscatine,41.424473,-91.0432051,261
osceola,43.3684613,-95.6299944,262
page,40.736337,-95.1602396,263
palo alto,43.0762829,-94.6625047,264
plymouth,42.7369124,-96.2213607,265
pocahontas,42.7262681,-94.6477383,266
polk,41.6765808,-93.5921448,267
pottawattamie,41.3115686,-95.5331269,268
poweshiek,41.6816512,-92.5435034,269
ringgold,40.7399875,-94.2547473,270
sac,42.3797854,-95.0825306,271
scott,41.6251843,-90.6164201,272
shelby,41.668243,-95.3163623,273
sioux,43.0574079,-96.1602368,274
story,42.0161612,-93.489194,275
tama,42.0568108,-92.5433918,276
taylor,38.208544,-85.7732746,277
union,41.015699,-94.2472694,278
van buren,40.749202,-91.9689529,279
wapello,41.0137597,-92.4140217,280
warren,41.3138645,-93.5685324,281
washington,41.3160082,-91.7340327,282
wayne,40.7436612,-93.343458,283
webster,42.4326072,-94.184316,284
winnebago,43.3747879,-93.7316088,285
winneshiek,43.2677179,-91.8563139,286
woodbury,42.3775361,-96.0607187,287
worth,43.3696764,-93.2658698,288
wright,42.7404452,-93.7325849,289
allen,37.8882168,-95.3170208,290
anderson,38.198077,-95.3067461,291
atchison,39.545816,-95.3326052,292
barber,37.2113342,-98.7033263,293
barton,38.4683432,-98.776234,294
bourbon,37.8485797,-94.8679591,295
brown,39.824223,-95.5819952,296
butler,37.77924,-96.8456342,297
chase,38.2928083,-96.6152916,298
chautauqua,37.146335,-96.2656966,299
cherokee,37.1718068,-94.8482069,300
cheyenne,39.7955799,-101.7575491,301
clark,37.2045719,-99.8133765,302
clay,39.3615169,-97.1718432,303
cloud,39.4850226,-97.6705137,304
coffey,38.235413,-95.7498925,305
comanche,37.1960944,-99.2958383,306
cowley,37.2413155,-96.8675685,307
crawford,37.503889,-94.8652466,308
decatur,39.7940527,-100.472769,309
dickinson,38.8790615,-97.1893341,310
doniphan,39.7831556,-95.1776492,311
douglas,38.8838392,-95.2874559,312
edwards,37.8684743,-99.3245584,313
elk,37.4619149,-96.2528451,314
ellis,38.9206744,-99.3267086,315
ellsworth,38.6942009,-98.2149289,316
finney,38.0452481,-100.8199963,317
ford,37.7072469,-99.8943146,318
franklin,38.5720008,-95.3184483,319
geary,38.9885445,-96.7619968,320
gove,38.9030073,-100.5073968,321
graham,39.34062,-99.8980624,322
grant,37.553026,-101.3067042,323
gray,37.7221896,-100.4373907,324
greeley,38.4570355,-101.8185007,325
greenwood,37.8709542,-96.2471338,326
hamilton,38.0058948,-101.8141159,327
harper,37.1922068,-98.0835849,328
harvey,38.0352315,-97.4486267,329
haskell,37.5611249,-100.8840421,330
hodgeman,38.0875979,-99.900952,331
jackson,39.4030917,-95.8159647,332
jefferson,39.2405893,-95.391413,333
jewell,39.795263,-98.2255146,334
johnson,38.8837933,-94.8389141,335
kearny,37.9960049,-101.3523356,336
kingman,37.5420937,-98.122172,337
kiowa,37.5529578,-99.296556,338
labette,37.1899712,-95.3103729,339
lane,38.4651663,-100.4776682,340
leavenworth,39.3113257,-94.922759,341
lincoln,39.0343606,-98.2155504,342
linn,38.1965927,-94.8578272,343
logan,38.9058216,-101.1552381,344
lyon,38.4573987,-96.1683124,345
marion,38.3734544,-97.1305937,346
marshall,39.7865054,-96.5255661,347
mcpherson,38.3659015,-97.6575171,348
meade,37.2091116,-100.396302,349
miami,38.5620514,-94.8557402,350
mitchell,39.3863019,-98.2112629,351
montgomery,37.1983948,-95.7628341,352
morris,38.6908906,-96.6707526,353
morton,37.1960735,-101.8099541,354
nemaha,39.7880532,-96.0157844,355
neosho,37.5566345,-95.33166,356
ness,38.4713429,-99.9586896,357
norton,39.7944702,-99.9100033,358
osage,38.6736049,-95.7367738,359
osborne,39.3351558,-98.7933509,360
ottawa,39.1273653,-97.6568094,361
pawnee,38.1858758,-99.240825,362
phillips,39.7961542,-99.346586,363
pottawatomie,39.3928203,-96.3414279,364
pratt,37.6280602,-98.7485305,365
rawlins,39.7904797,-101.0994722,366
reno,37.930344,-98.1055753,367
republic,39.8266503,-97.6580834,368
rice,38.3266261,-98.2007179,369
riley,39.3026347,-96.7709339,370
rooks,39.3494127,-99.3216587,371
rush,38.5047752,-99.309214,372
russell,38.8970508,-98.7980433,373
saline,38.7704462,-97.6669832,374
scott,38.4584915,-100.9336244,375
sedgwick,37.6448148,-97.4641388,376
seward,37.1850331,-100.8928434,377
shawnee,39.0416718,-94.7202376,378
sheridan,39.3530598,-100.4576457,379
sherman,39.3412127,-101.7492408,380
